title,rating
The Look of Silence,PG-13
The Lord of the Rings: The Return of the King,PG-13
The Lord of the Rings: The Two Towers,PG-13
The Lost Husband,PG-13
The Love Guru,PG-13
The Mask of Zorro,PG-13
The Midnight Sky,PG-13
The Naked Gun 2 1/2: The Smell of Fear,PG-13
The Naked Gun: From the Files of Police Squad!,PG-13
The Other Guys,PG-13
The Pelican Brief,PG-13
The Perks of Being a Wallflower,PG-13
The Phantom of the Opera,PG-13
The Prom,PG-13
The Promise,PG-13
The Pursuit of Happyness,PG-13
The Rainmaker,PG-13
The Reliant,PG-13
The Ring,PG-13
The River Wild,PG-13
The Roommate,PG-13
The Sapphires,PG-13
The Sea of Trees,PG-13
The Signal,PG-13
The Silence,PG-13
The Social Dilemma,PG-13
The Social Network,PG-13
The Space Between Us,PG-13
The Theory of Everything,PG-13
The Time Machine,PG-13
The Time Traveler's Wife,PG-13
The Tourist,PG-13
The Tuxedo,PG-13
The Two Popes,PG-13
The Unknown Known,PG-13
The Vatican Tapes,PG-13
The Waterboy,PG-13
The World Is Not Enough,PG-13
The Young Messiah,PG-13
"Thelonious Monk: Straight, No Chaser",PG-13
Thor: Ragnarok,PG-13
"To Wong Foo, Thanks for Everything! Julie Newmar",PG-13
Tomorrow Never Dies,PG-13
Tortilla Soup,PG-13
Tracers,PG-13
Traitor,PG-13
Transcendence,PG-13
Tremors,PG-13
Tremors 2: Aftershocks,PG-13
Tremors 4: The Legend Begins,PG-13
Tremors 5:  Bloodline,PG-13
Tremors 6: A Cold Day in Hell,PG-13
Tremors: Shrieker Island,PG-13
Undefeated,PG-13
Under the Shadow,PG-13
Undercover Grandpa,PG-13
Unfinished Song,PG-13
Unknown,PG-13
Vampires vs. the Bronx,PG-13
Vantage Point,PG-13
Victor,PG-13
Walking Out,PG-13
War Horse,PG-13
What Lies Beneath,PG-13
What's Eating Gilbert Grape,PG-13
Where the Money Is,PG-13
Wild Child,PG-13
Wild Oats,PG-13
Wild Wild West,PG-13
Wildlife,PG-13
Winchester,PG-13
World Trade Center,PG-13
Wyatt Earp,PG-13
XXx,PG-13
XXX: State of the Union,PG-13
Yes Man,PG-13
Yoga Hosers,PG-13
